cate,sj,menu,pric
한식_일반,평양냉면,불고기정식,9000
한식_분식,김밥하우스,김밥(1줄),2500
한식_면류,대한손칼국수,칼국수,5500
중식,산동반점,자장면,6000
한식_일반,부림생오리,생오리불고기정식(점심특선),8000
기타양식,옌닌쌀국수,해산물쌀국수,7000
한식_육류,왕호돌왕갈비,국내산왕갈비,9800
한식_면류,또와손칼국수,칼국수,5500
중식,천일각,자장면,4000
세탁업,동양세탁,세탁료(양복1벌),6500
한식_일반,시장통 칼국수,칼국수,4500
이미용업,역전이용원,커트,8000
이미용업,꽃샘미용실,커트,10000
기타양식,규문당과자점,단팥빵,1500
기타양식,파네토네과자점,마카롱,1100
한식_면류,다다생모밀,생모밀,3000
한식_면류,오.별난멸치국수,열무국수,7000
중식,홍복,유니짜장,4000
한식_일반,서울집,소곱창전골,11000
한식_일반,봉이칼국수,옛맛칼국수,6000
한식_일반,등마루식당,정식,7000
중식,행복한 칼짜장,짜장면,4500
한식_일반,동경식당,추어탕,10000
한식_일반,단골식당,묵은지김치전골,8000
한식_기타,밥만퍼반찬,국,3000
한식_육류,오복식육식당,삼겹살(100g),7000
한식_육류,참숯마을,제육,8000
한식_일반,우정,돌솥비빔밥,6500
기타양식,착한가격착한빵집쉐프윤,팥빵,700
한식_일반,미포낙지,낙지,8000
한식_일반,남보현 국수집,국수,5000
한식_일반,개미식당,돼지국밥,6000
기타서비스업,아인당구장,게임료(10분),1000
한식_육류,소떼숯불소늑간살,돼지갈비(150g),9000
이미용업,777헤어샵,커트(남),10000
한식_일반,시골집,김치찌개,7000
양식,돈까스로,등심돈까스,7000
한식_일반,삼세랑,가정식 도시락,10000
이미용업,헤어짱,파마,28000
이미용업,젠틀맨,남성커트,7000
한식_한정식,한우리밥집,정식,6000
한식_일반,실안장어구이,장어구이(1kg),39000
한식_일반,태평양숯불갈비,갈비탕,7500
이미용업,맨투맨,커트,7000
한식_일반,다미복국,은복,12000
한식_일반,꼬꼬삼계탕,삼계탕,11000
한식_면류,자유손칼국수,칼국수,5000
이미용업,헤어클리닉 J&J,커트,5000
한식_일반,장어이야기,장어탕,8000
이미용업,까까머리,커트,7000
한식_일반,가마솥생복집,은복,13000
한식_일반,소향갈비탕,갈비탕,10000
한식_일반,장터국밥,소고기국밥,6000
세탁업,서민세탁소,와이셔츠,3000
이미용업,정화미용실,커트,8000
이미용업,정지수헤어가이드,커트(남),8000
이미용업,정원이용원,커트,10000
한식_일반,대교식당,된장찌개,6000
한식_일반,남선식당,순두부찌개,6000
이미용업,용두산이용원,커트,5000
한식_일반,풍미추어탕,추어탕,8000
한식_면류,본가밀면,만두,4000
한식_일반,최고맛집,잔치국수,4500
한식_육류,착한돼지,생목살(120g),8000
한식_면류,밀칼국수,칼국수,3000
중식,금송짬뽕,짜장면,4000
한식_일반,승주네김밥,"일반/땡초김밥, 유부초밥",2000
한식_육류,갈비둥지,양념목살170g,9000
양식,(온천)돈까스의 집,돈까스,9000
이미용업,남희헤어아트,커트,7000
이미용업,자매미용실,커트,12000
중식,북경반점,자장면,6000
한식_육류,해돋이숯불갈비,쌈밥정식,8000
한식_면류,옛맛 손칼국수,칼국수,6000
한식_일반,장터국밥,돼지국밥,8000
중식,일품관,자장면,5000
양식,있돈,돈가스,6000
한식_면류,함흥냉면,냉면,8000
이미용업,황태자이용원,커트,7000
이미용업,조명숙헤어,컷트(여),8000
중식,부원,짜장면,4000
한식_면류,양정정통밀면,밀면,7000
한식_일반,현대가든,소양념갈비(300g),17000
한식_일반,우리식당,된장찌개,7000
한식_육류,야우보쌈,보쌈정식,10000
한식_일반,한라정,돌솥밥갈치조림,10000
한식_일반,터줏집돼지국밥,돼지/순대/시락/선지국밥,7000
이미용업,boy&guy,일반컷,8000
양식,꼬모도,스파이시 볼로,8000
한식_면류,쑥밀면,쑥(비빔)밀면(소),6000
한식_일반,겐조식당,동태찌개,7000
중식,남천홍반장,자장면,5000
한식_일반,형제돼지국밥,돼지국밥,8000
한식_일반,착한생오리,소금구이,29000
한식_일반,대가숯불갈비,김치찌개,7000
한식_일반,밀양가마솥추어탕,추어탕,9000
한식_일반,연일한우참숯구이,한우한마리곰탕,8000
한식_일반,선미밥상,다슬기 미역국,9000
한식_면류,인화칼국수,칼국수,3000
한식_면류,멸치가 살아있는 국수,멸치국수,4500
양식,엄가네,돈/치킨/생선까스,7000
한식_면류,부산모밀,모밀국수,8000
한식_면류,명품면가,잔치국수,5500
한식_일반,시골삼계탕,한방 삼계탕,15000
한식_면류,얼크니손칼국수,칼국수샤브샤브(야채+등심+손칼국수+볶음밥),10000
한식_일반,이가네돼지국밥,돼지국밥,7500
한식_면류,신가네밀면,물밀면,7000
중식,선우정짜장짬뽕과 닭한마리,자장면,5000
이미용업,사상남성커트클럽,남성커트,7000
한식_찌개류,산골,삼계탕,13000
한식_찌개류,골목아구찜,아구찜(소),25000
한식_분식,김밥친구,김밥(1줄),1200
이미용업,박현헤어클럽,남성커트,5000
한식_면류,주례칼국수,칼국수,5000
한식_찌개류,뿅가네장수돼지국밥,돼지국밥,8000
한식_육류,만포장식당,삼겹살(국산150g),9000
한식_면류,강촌손칼국수,칼국수,5000
한식_면류,촌칼국수,칼국수,5000
한식_면류,예진할매칼국수,칼국수,5000
기타양식,연자방아칼국수,칼국수,5000
이미용업,루비헤어샵,커트,5000
기타양식,서면손칼국수,칼국수,5500
중식,오곡흑미쌀짜장,자장면,6000
세탁업,태양세탁,Y-셔츠,3000
한식_면류,부산밀면,밀면,6000
한식_일반,미식천국,된장찌개,8000
한식_일반,참추어탕,추어탕,9000
한식_일반,신촌돌솥설렁탕,설렁탕,9000
한식_일반,고담,된장정식,7000
중식,신촌반점,짜장면,5000
한식_일반,할매국수,한식뷔페,6000
한식_일반,신원두막식당,김치찌개,5000
한식_일반,명지돼지국밥,돼지국밥,7000
이미용업,김미영헤어프로페셔널,컷트,8000
한식_일반,서동솔밭집,육개장,8000
한식_일반,녹우원,한우국밥,8000
한식_일반,춘하추동,칼국수,4500
한식_육류,하나로한우명품참숯불구이,등심(100g),18000
한식_일반,가마솥추어탕,깔끔추어탕,10000
이미용업,수림헤어,커트,10000
한식_면류,해주냉면,물밀면,8000
이미용업,화랑이용원,커트,10000
한식_육류,한우공장,한우양념모듬(100g),13000
한식_일반,괴정할매칼국수,칼국수(중),7000
일식,오사카,우동,5000
한식_면류,구포국수,멸치국수,4300
한식_일반,김밥천국,김밥,3000
한식_육류,대박집,대패삼겹살(100g),3900
한식_일반,원조할매국밥,돼지국밥,5500
한식_일반,마산이모집,동태탕,7000
한식_육류,화성숯불로,삼겹살(110g),5000
한식_일반,김밥왕국,원조김밥,2000
한식_일반,태광쌈밥생선구이,쌈밥,10000
목욕업,정선탕,일목욕,6000
한식_면류,강대감 손칼국수,손칼국수,4500
중식,떴다 왕손짜장,짜장면,4500
한식_일반,경주전통돼지국밥,돼지.내장.순대.섞어국밥,8000
한식_일반,우정분식,비빔밥(5종),6000
한식_일반,금곡추어탕,추어탕,8000
한식_면류,이원화구포국시전문점,따신/차븐국시,4500
한식_육류,대박삼겹2900,"국내산생삼겹,목살 100g",6900
한식_일반,한울타리분식,김밥,4000
한식_일반,진수식당,순두부찌개,5000
한식_일반,제일집,추어탕,9000
양식,장수왕돈까스,스파게티,6000
한식_면류,약콩밀면,물밀면,7000
한식_일반,오륙도낙지볶음,낙지볶음,8500
한식_일반,옛날전통추어탕,추어탕,10000
한식_일반,안강식당,콩나물라면,4000
한식_일반,쌍둥이돼지국밥(2호점),돼지국밥,9000
한식_일반,시골보리밥돼지갈비,김밥,2000
한식_일반,시골돼지국밥,돼지국밥,8000
한식_일반,숯불갈비 막끌리네,된장찌개,7000
한식_일반,수구리 보리밥,보리밥,7000
중식,성룡짜장,짜장면,4000
한식_일반,미담,미담김밥,3500
한식_일반,명동닭한마리,삼계탕,14000
한식_육류,뚱돈,된장찌개,7000
한식_일반,동원식당,된장찌개,8000
한식_육류,동명식당,된장찌개,7000
한식_일반,돌고래돼지국밥,비빔국수,5000
한식_면류,구포멸치국수,멸치국수,4000
기타양식,카페꽃마실,아메리카노,2500
한식_일반,초원집식당,삼계탕,12000
한식_면류,서울칼국수,칼국수,4500
한식_일반,밀양삼대국밥,돼지국밥,8000
한식_일반,무진장횟집,회덮밥,7000
중식,하동각,짜장면,6000
한식_일반,예원한정식,불고기정식,15000
한식_일반,정동진해돋이횟집,물회(매운탕포함),10000
한식_일반,참뷔페,한식뷔페,6000
이미용업,은혜미용실,커트,8000
세탁업,하이테크크리닝 세탁소,양복,7000
한식_일반,이화한우소머리곰탕,곰탕,9000
한식_일반,작은영토,김치찌개,8000
중식,천일궁,짜장면,6000
이미용업,나래투미용실,커트,5000
이미용업,지지미용실,커트,10000
한식_육류,만점숯불갈비,불고기전골,7000
한식_일반,논두렁추어탕,추어탕,6000
중식,송화루,짜장면,7000
한식_면류,후루룩 촌국수,물국수,3000
한식_면류,영자면옥 손칼국수,칼국수,3000
이미용업,영신미용실,파마(어르신특가),10000
한식_일반,도마위에 암소,한우정통육개장,9000
한식_일반,골목식당(1974골목),냉면,6000
한식_일반,중앙숯불갈비,해물된장찌개,8000
한식_일반,우정분식,열무비빔밥,6000
한식_일반,하동재첩,재첩국정식,10000
한식_일반,서울식당,대구탕,10000
한식_일반,좋은식당,김치찌개,8000
한식_일반,금복식당,된장찌게,9000
한식_면류,대박밀면,생등심돈가스,8000
한식_일반,포항물회,물회,12000
한식_일반,남촌,소고기샤브샤브(150g),12000
한식_육류,영선불고기,소불고기(130g),9000
이미용업,오고파미용실,커트,8000
이미용업,동현미용실,파마,25000
이미용업,리라헤어라인,일반파마,17000
이미용업,청학이용원,커트,10000
이미용업,민헤어남성컷전문,커트,8000
이미용업,강희정헤어공간,커트,6000
이미용업,효정헤어,일반파마,20000
이미용업,김선임헤어샵,커트,8000
한식_육류,부영갈비,갈비탕,9000
이미용업,아람미용실,커트,10000
세탁업,화이트밸리,와이셔츠 드라이,2000
한식_일반,금성갈비탕,갈비탕,12000
